model,fit_seconds,val_roc_auc,val_average_precision,val_balanced_accuracy,val_precision,val_recall,val_f1,test_roc_auc,test_average_precision,test_balanced_accuracy,test_precision,test_recall,test_f1,approval_threshold,approval_rate,bad_rate_among_approved
hist_gradient_boosting,1.2175783710008545,0.9774546794070369,0.9361535034068716,0.8822744574924093,0.8965272856130404,0.790625,0.8402524078379277,0.9768683383340478,0.9357156538210218,0.8826408058294042,0.8876467300167692,0.794,0.8382158880971232,0.42379332333953107,0.7827536392932548,0.04755820556501988
random_forest,3.770740345997183,0.9728918110376852,0.9241681717652634,0.8893257166458296,0.8203703703703704,0.830625,0.8254658385093168,0.9728379054150593,0.9251885275258441,0.8966747749678525,0.8198547215496368,0.8465,0.8329643296432965,0.5059614793805172,0.7736415157239693,0.04553289284688308
decision_tree,0.09708601300008013,0.9634580393820324,0.8920007538782051,0.8842738658689051,0.659954233409611,0.90125,0.7619550858652576,0.9660786898128304,0.8985402801416453,0.8900619374196315,0.6625544267053701,0.913,0.7678721614802355,0.5513670993420959,0.7065229469941104,0.031456432840515886
rbf_svm,9.845687147000717,0.961709457045901,0.8797155870786627,0.8945865891230578,0.6686363636363636,0.919375,0.7742105263157895,0.9618509072724675,0.8858816827753939,0.8903831618802687,0.6586417535034136,0.9165,0.7664645619903826,0.5673961435213551,0.7550838982109124,0.045474613686534215
linear_svm,0.08254671900067478,0.9528065279514201,0.8486234294045374,0.879316116717271,0.6219305673158341,0.918125,0.7415446744068652,0.9522438205457923,0.8524848165010734,0.8719877125303614,0.6034255599472991,0.916,0.727561556791104,0.24406012459926263,0.7320813423713746,0.04918032786885246
logistic_regression,0.49786300100095104,0.95273452848723,0.8460679499847961,0.8798967449544561,0.6259607173356105,0.91625,0.7437848807711821,0.9521898128304043,0.8522592873276658,0.8721308044006286,0.6072497505819754,0.913,0.7293788695825844,0.6645522887663777,0.7323035892876987,0.04931714719271624
